,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_VOT__DT__max_depth,param_VOT__DT__min_samples_leaf,param_VOT__DT__min_samples_split,param_VOT__EL__alpha,param_VOT__KNN__n_neighbors,param_VOT__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
578,0.022004985809326173,0.0026105286957328715,0.00960230827331543,0.0004913509490383346,5,5,2,1.5005,2,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [9, 2, 9]}",0.9075687243830286,0.9258106314418526,0.9128371871269233,0.8808633808636487,0.8876531902527632,0.9029466228136434,0.016513682995745436,311
579,0.022404241561889648,0.0007997586310012816,0.009203147888183594,0.00040044812935812054,5,5,2,1.5005,5,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [6, 3, 6]}",0.8994837494047222,0.9196386090342116,0.9143897906110398,0.8750199042557576,0.8764688438029787,0.8970001794217419,0.01857812386198745,406
580,0.02280259132385254,0.0007511355747863282,0.009803104400634765,0.0003999749023382557,5,5,2,1.5005,5,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [7, 4, 7]}",0.8992101357145851,0.9180747147895237,0.9127039347259011,0.8742380972253287,0.8739596303995596,0.8956373025709796,0.018629653765141252,436
581,0.022407674789428712,0.0004910408211525786,0.009402322769165038,0.0004892709506863456,5,5,2,1.5005,5,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 5, 'VOT__weights': [9, 2, 9]}",0.9089564799719982,0.9250128795679886,0.9138662795923802,0.8793014145386339,0.8861609700261602,0.9026596047394323,0.017220447679278425,318
582,0.025202322006225585,0.006428214600789267,0.011803960800170899,0.0034884430274371046,5,5,2,1.5005,7,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [6, 3, 6]}",0.8972774888094674,0.9148191827710952,0.906548805571471,0.8749098665598948,0.8803812382461351,0.8947873163916128,0.01515557558385744,459
583,0.022606563568115235,0.0007979049175975126,0.008801078796386719,0.000401074437548113,5,5,2,1.5005,7,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [7, 4, 7]}",0.8930278510423852,0.9126894095529315,0.910624275453847,0.8752329845959907,0.8782853025845948,0.89397196464595,0.015657294079917266,470
584,0.021803951263427733,0.0009797835640089124,0.00920400619506836,0.0007503533308760422,5,5,2,1.5005,7,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 1.5005, 'VOT__KNN__n_neighbors': 7, 'VOT__weights': [9, 2, 9]}",0.9069763471463169,0.9227506982108113,0.9131993539545167,0.8794754458023404,0.8881605685701439,0.9021124827368258,0.015997519672936483,329
585,0.021605587005615233,0.001958233629084506,0.008800745010375977,0.0007488423259008833,5,5,2,3.0,2,"[6, 3, 6]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [6, 3, 6]}",0.8976155643609548,0.9163045240998566,0.909451482507444,0.8732896199382822,0.875027433396495,0.8943377248606066,0.017536363637111373,467
586,0.02140669822692871,0.0013546753364738291,0.009001541137695312,0.0006318834621083951,5,5,2,3.0,2,"[7, 4, 7]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [7, 4, 7]}",0.8938989009329266,0.9145017615038283,0.9079437025770314,0.8727239953231679,0.8726455857150812,0.8923427892104072,0.017376460708629596,490
587,0.024803972244262694,0.006178437399259378,0.010404491424560547,0.0034410420089680638,5,5,2,3.0,2,"[9, 2, 9]","{'VOT__DT__max_depth': 5, 'VOT__DT__min_samples_leaf': 5, 'VOT__DT__min_samples_split': 2, 'VOT__EL__alpha': 3.0, 'VOT__KNN__n_neighbors': 2, 'VOT__weights': [9, 2, 9]}",0.904962599706579,0.9217144037554013,0.9173166982607888,0.8758906658957426,0.8837193461331124,0.9007207427503248,0.018109296483734025,335
