,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_EL__alpha,param_EL__l1_ratio,param_IMP__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01839590072631836,0.004033552570121547,0.0028048038482666017,0.0007455424740549305,0.0001,0.0001,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.0001, 'IMP__strategy': 'mean'}",-23.84265650125168,0.02302208263494121,-0.6827686467559948,-255.01407283754634,-16.932227016307817,-59.28974058384538,98.29694800603397,387
1,0.015596294403076172,0.000800204367609641,0.002004671096801758,9.933789566039876e-07,0.0001,0.0001,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.0001, 'IMP__strategy': 'median'}",-23.456526825207984,-0.33432150893911894,-1.0814690353825367,-232.77118417257836,-17.451788333777728,-55.019057975177134,89.33419881727198,381
2,0.016797590255737304,0.0017210064052607607,0.002203845977783203,0.00039975755136469196,0.0001,0.11120000000000001,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.11120000000000001, 'IMP__strategy': 'mean'}",-23.841288209464366,0.0218458309661409,-0.7043197065237528,-258.3610204418803,-16.92352049364884,-59.96166060411023,99.62803047800574,389
3,0.01639666557312012,0.001357352074397501,0.002004528045654297,1.0070186654063642e-06,0.0001,0.11120000000000001,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.11120000000000001, 'IMP__strategy': 'median'}",-23.458922993539222,-0.3430416401993899,-1.114399061674693,-236.28374948909567,-17.456321095640423,-55.731286856029875,90.72654779779374,382
4,0.015995883941650392,0.0012652717930442476,0.0026139736175537108,0.0008178556503298609,0.0001,0.2223,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.2223, 'IMP__strategy': 'mean'}",-23.835622339925063,0.020338589494094728,-0.7285603076653728,-261.3654124222467,-16.91596666147647,-60.56504462836391,100.8226895997884,391
5,0.01679677963256836,0.0013268991854378611,0.0020037174224853517,7.136645101116068e-07,0.0001,0.2223,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.2223, 'IMP__strategy': 'median'}",-23.4574981979526,-0.35304096913346794,-1.1512025991249608,-240.13521824692123,-17.46154849220045,-56.51170170106654,92.25364025288908,383
6,0.01519618034362793,0.0007486850818517816,0.002206087112426758,0.0003988882627847591,0.0001,0.33340000000000003,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.33340000000000003, 'IMP__strategy': 'mean'}",-23.824820021844292,0.01839804146065216,-0.7560351956857558,-264.348070704822,-16.90975555625554,-61.1640566874294,102.0086536944752,393
7,0.016596412658691405,0.0004897651206850096,0.002004098892211914,8.17605409597504e-07,0.0001,0.33340000000000003,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.33340000000000003, 'IMP__strategy': 'median'}",-23.452561348301213,-0.3645881285094954,-1.1927087393390132,-244.372896716385,-17.468056314507713,-57.37016224940847,93.93417500652538,384
8,0.015796136856079102,0.00039980429657254026,0.002004098892211914,1.049041748046875e-06,0.0001,0.4445,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.4445, 'IMP__strategy': 'mean'}",-23.807676453464207,0.015894273370859024,-0.7874061240124517,-267.5093111135689,-16.90462808525398,-61.79862550058574,103.26574759666792,394
9,0.01859731674194336,0.0025770365330994565,0.0024034976959228516,0.0004913458587390478,0.0001,0.4445,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.4445, 'IMP__strategy': 'median'}",-23.445753549057752,-0.37804405721484313,-1.236394405041589,-249.08067336146505,-17.47580460125236,-58.32333399480632,95.80177878852825,385
10,0.021197032928466798,0.006432546756976252,0.002603626251220703,0.000489770598809629,0.0001,0.5556,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.5556, 'IMP__strategy': 'mean'}",-23.7825077971908,0.012647689806029039,-0.8235419796909704,-271.025808717718,-16.90086331994695,-62.504014824948136,104.66437300662125,396
11,0.02259836196899414,0.004317138814066777,0.002803945541381836,0.000747793867825037,0.0001,0.5556,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.5556, 'IMP__strategy': 'median'}",-23.428437232564107,-0.39389057501649205,-1.2846651510475757,-253.4290750033903,-17.485061930533814,-59.20422597851045,97.52642592109235,386
12,0.019596433639526366,0.0010203379026591,0.0024043560028076173,0.0004896683381170461,0.0001,0.6667000000000001,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.6667000000000001, 'IMP__strategy': 'mean'}",-23.74696211439686,0.00814369352384714,-0.865593596356957,-275.0701421153185,-16.89869751411296,-63.31465032933228,106.27331918938387,397
13,0.019997692108154295,0.0006332402595552408,0.0024039745330810547,0.0004901743814432736,0.0001,0.6667000000000001,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.6667000000000001, 'IMP__strategy': 'median'}",-23.39721766979819,-0.41278682178945036,-1.3387774777677088,-255.43490709522052,-17.496262419715407,-59.615990296858264,98.31802680974751,388
14,0.019195747375488282,0.0013294304237892241,0.0026038646697998046,0.0004912270222847325,0.0001,0.7778,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.7778, 'IMP__strategy': 'mean'}",-23.697727107044724,0.0024968508677027934,-0.9117776881185196,-279.88900590882406,-16.898293265999133,-64.27886142382376,108.19146124259952,398
